number,value,datetime_start,datetime_complete,duration,params_metodo,params_n_elites,params_pc,params_pm,params_tamano_muestra,state
0,96.48394653284922,2026-05-13 21:31:57.700118,2026-05-13 21:32:01.103652,0 days 00:00:03.403534,windows,2,0.8065446188903402,0.00476292709507951,520,COMPLETE
1,347.31796443642094,2026-05-13 21:32:01.104535,2026-05-13 21:32:02.832542,0 days 00:00:01.728007,proportional,1,0.8250745333576128,0.001227334838507443,266,COMPLETE
2,146.518334795993,2026-05-13 21:32:02.833752,2026-05-13 21:32:08.353698,0 days 00:00:05.519946,proportional,4,0.8731023607926478,0.028414512498586172,921,COMPLETE
3,327.8029614772172,2026-05-13 21:32:08.357058,2026-05-13 21:32:11.328764,0 days 00:00:02.971706,proportional,2,0.6676052950500765,0.0012355325770535552,584,COMPLETE
4,5.459329194334831,2026-05-13 21:32:11.329584,2026-05-13 21:32:16.564199,0 days 00:00:05.234615,windows,3,0.9175043701468716,0.0025580372356810484,716,COMPLETE
5,50.632451950487614,2026-05-13 21:32:16.566301,2026-05-13 21:32:20.953371,0 days 00:00:04.387070,windows,5,0.793453113208572,0.0013888466273840854,673,COMPLETE
6,50.47706463645217,2026-05-13 21:32:20.954214,2026-05-13 21:32:25.469476,0 days 00:00:04.515262,proportional,4,0.825644957467006,0.003852239071489337,815,COMPLETE
7,6.265007389471991,2026-05-13 21:32:25.470222,2026-05-13 21:32:26.820075,0 days 00:00:01.349853,windows,1,0.777930733861023,0.017096869579891316,168,COMPLETE
8,193.2957179269528,2026-05-13 21:32:26.820742,2026-05-13 21:32:29.849035,0 days 00:00:03.028293,proportional,4,0.7121675210875297,0.01719082323431208,572,COMPLETE
9,632.8495888513874,2026-05-13 21:32:29.849847,2026-05-13 21:32:30.813690,0 days 00:00:00.963843,proportional,5,0.7434951869542077,0.008067209997023464,134,COMPLETE
10,216.19233267593214,2026-05-13 21:32:30.814552,2026-05-13 21:32:33.767655,0 days 00:00:02.953103,windows,3,0.9467403981463739,0.0029609165404542786,356,COMPLETE
11,34.70382472225021,2026-05-13 21:32:33.768611,2026-05-13 21:32:38.673632,0 days 00:00:04.905021,windows,1,0.6162155318209026,0.014762462784863475,764,COMPLETE
12,96.23907011001744,2026-05-13 21:32:38.675672,2026-05-13 21:32:41.800055,0 days 00:00:03.124383,windows,2,0.9457065010527896,0.04206029304782805,408,COMPLETE
13,294.44452877958776,2026-05-13 21:32:41.800990,2026-05-13 21:32:42.736184,0 days 00:00:00.935194,windows,3,0.8823549386272778,0.009043976965982258,119,COMPLETE
14,427.7575341063504,2026-05-13 21:32:42.737116,2026-05-13 21:32:49.107909,0 days 00:00:06.370793,windows,1,0.8848378186504725,0.00259053891823662,978,COMPLETE
